ALL 151 COLUMNS WITH DTYPE AND NULL %

131. hardship_reason                          | str        | 99.3% null
132. hardship_status                          | str        | 99.3% null
133. deferral_term                            | float64    | 99.3% null
134. hardship_amount                          | float64    | 99.3% null
135. hardship_start_date                      | str        | 99.3% null
136. hardship_end_date                        | str        | 99.3% null
137. payment_plan_start_date                  | str        | 99.3% null
138. hardship_length                          | float64    | 99.3% null
139. hardship_dpd                             | float64    | 99.3% null
140. hardship_loan_status                     | str        | 99.3% null
141. orig_projected_additional_accrued_interest | float64    | 99.4% null
142. hardship_payoff_balance_amount           | float64    | 99.3% null
143. hardship_last_payment_amount             | float64    | 99.3% null
144. disbursement_method                      | str        | 0.0% null
145. debt_settlement_flag                     | str        | 0.0% null
146. debt_settlement_flag_date                | str        | 97.1% null
147. settlement_status                        | str        | 97.1% null
148. settlement_date                          | str        | 97.1% null
149. settlement_amount                        | float64    | 97.1% null
150. settlement_percentage                    | float64    | 97.1% null
151. settlement_term                          | float64    | 97.1% null
